loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
0.4153141379356384,0.7839780449867249,0.9952200055122375,0.39551013708114624,0.7533870935440063,0.9979241490364075,0.0003000000142492354
0.42243877053260803,0.7972099184989929,1.009630560874939,0.3945015072822571,0.7619743943214417,0.994123637676239,0.0003000000142492354
0.4169993996620178,0.7847301959991455,1.0002156496047974,0.408390611410141,0.7531886696815491,1.0275468826293945,0.0003000000142492354
0.4184083342552185,0.7848241925239563,1.0023690462112427,0.39311879873275757,0.7563077807426453,0.9945681691169739,0.0003000000142492354
0.4136327803134918,0.7858946323394775,0.9920105338096619,0.3889928460121155,0.7475847005844116,0.9936907887458801,0.0003000000142492354
0.4094526767730713,0.7789630889892578,0.9856061339378357,0.39660996198654175,0.741097629070282,1.0114504098892212,0.0003000000142492354
0.4125145375728607,0.7812244296073914,0.9911267757415771,0.4208848476409912,0.7611733078956604,1.0534586906433105,0.0003000000142492354
0.4174964427947998,0.7798926830291748,0.9968084692955017,0.39275190234184265,0.7430425882339478,1.002498984336853,0.0003000000142492354
0.39649564027786255,0.7562745213508606,0.9735254645347595,0.3859352767467499,0.7487648725509644,0.9827272891998291,0.0001500000071246177
0.40258845686912537,0.7615043520927429,0.9785971641540527,0.3872816562652588,0.7565196752548218,0.9825066328048706,0.0001500000071246177
0.40635889768600464,0.7758251428604126,0.9796029329299927,0.37512344121932983,0.7267286777496338,0.9678680896759033,0.0001500000071246177
0.3938431441783905,0.7608392834663391,0.9635051488876343,0.3795773684978485,0.7123885750770569,0.9854087233543396,0.0001500000071246177
0.3824065327644348,0.7366352081298828,0.9514791965484619,0.37346798181533813,0.7140978574752808,0.9715680480003357,0.0001500000071246177
0.3881954550743103,0.7504239082336426,0.954594075679779,0.37815412878990173,0.7138112783432007,0.9777104258537292,0.0001500000071246177
0.39275047183036804,0.7550579905509949,0.9623338580131531,0.3754010796546936,0.7202063202857971,0.96791672706604,0.0001500000071246177
0.3830898404121399,0.7415380477905273,0.9494125247001648,0.41423502564430237,0.7975122332572937,0.9984137415885925,0.0001500000071246177
0.3790064752101898,0.7389412522315979,0.9418393969535828,0.38704442977905273,0.7434223890304565,0.9797304272651672,7.500000356230885e-05
0.365970641374588,0.7222012877464294,0.9228605628013611,0.37875279784202576,0.7147677540779114,0.9753289222717285,7.500000356230885e-05
0.37232697010040283,0.7293821573257446,0.9313713312149048,0.36296501755714417,0.705629825592041,0.9436867237091064,7.500000356230885e-05
0.351523756980896,0.6969809532165527,0.8993896842002869,0.4016256332397461,0.7456304430961609,1.0151633024215698,7.500000356230885e-05
0.36792317032814026,0.7163180708885193,0.9317281246185303,0.3732805550098419,0.7094744443893433,0.9662258625030518,7.500000356230885e-05
0.3617083430290222,0.7120602130889893,0.9202399849891663,0.37540507316589355,0.7163257598876953,0.9681881070137024,7.500000356230885e-05
0.36076435446739197,0.708844780921936,0.9207049608230591,0.37139615416526794,0.7000267505645752,0.9679385423660278,3.7500001781154424e-05
0.35593563318252563,0.7098656296730042,0.906516969203949,0.3835422992706299,0.7224115133285522,0.9825718998908997,3.7500001781154424e-05
0.36647143959999084,0.7186052203178406,0.9258971214294434,0.3931111693382263,0.7617014646530151,0.977012574672699,3.7500001781154424e-05
0.35139214992523193,0.7014956474304199,0.9028683304786682,0.3675452172756195,0.7032874822616577,0.9590175151824951,1.8750000890577212e-05
0.3494263291358948,0.7006099820137024,0.9001181721687317,0.3926846385002136,0.7260198593139648,1.0033011436462402,1.8750000890577212e-05
