epoch,lr,train_loss,train_bce,train_dice_loss,train_dice,train_iou,val_loss,val_bce,val_dice_loss,val_dice,val_iou
1,0.001,0.1840479322836482,0.10606209791537584,0.26203376626840547,0.8719362434049713,0.7846613268110771,0.10671150564036755,0.06811954816861182,0.14530346408393813,0.8822312014443534,0.7977572960883194
2,0.001,0.08844165236716615,0.055967144162741164,0.12091616043776034,0.8983647491273548,0.8217973657651497,0.08241977022023675,0.0508332096664987,0.11400633198874337,0.9055473874814762,0.8318854936901827
3,0.001,0.08193145697342168,0.05331451635977538,0.11054839768294675,0.9037319429438492,0.8306244256349415,0.08150131408102024,0.052483113679271304,0.1105195146910152,0.9046805160386222,0.8295639423850161
4,0.001,0.07826447171476188,0.050888545060125814,0.10564039843331713,0.9070617582459233,0.8353891441713389,0.07181235129788796,0.045974703632896734,0.09764999928681747,0.9144028180874653,0.8458089310189952
5,0.001,0.07604214181529294,0.049662366237781,0.10242191741677456,0.9095645490344664,0.8392905948628689,0.09019647066637596,0.06516224900202722,0.11523069209934021,0.8947839799875058,0.8162670072561465
6,0.001,0.07506878487066673,0.049014729912575064,0.10112283987270283,0.9105648944908429,0.8408016312218224,0.0733211388036331,0.04884146755526525,0.0978008116254155,0.9137351079757169,0.8450960853825444
7,0.001,0.07286960268667812,0.04744398587910164,0.09829521965405257,0.9129082672078233,0.8445422728323745,0.07009669495110186,0.04600777298859928,0.09418561813994224,0.9164123479623972,0.848679889062917
8,0.001,0.07152604695219776,0.046525105766093124,0.09652698832606502,0.9144467432441404,0.8468918053777863,0.09390761698625102,0.07066529905944137,0.11714993463539929,0.891659901379058,0.8096993502622806
9,0.001,0.07088086637031617,0.04607436769609477,0.09568736502056786,0.9151304187787442,0.8477927147862738,0.06794069066458608,0.04504371562868542,0.0908376655963637,0.9186985533429969,0.8523306283891571
10,0.001,0.07050678184700396,0.045634109429995115,0.09537945394541558,0.915392047118885,0.848316755275624,0.06867778810284893,0.04355498515532254,0.09380059138588283,0.9182815662822368,0.8516515108369151
11,0.001,0.06970930243305483,0.04512450859629756,0.09429409644558986,0.9163357673317754,0.8497250598493274,0.07372538588061836,0.04966861775480442,0.09778215426095524,0.9122914349810677,0.8419868035346084
12,0.001,0.06864599329257139,0.04449976306738227,0.09279222341389183,0.9176154816118706,0.8516245380803024,0.07284553804845544,0.04659655787374662,0.09909451822316424,0.9126045355885666,0.8424790405338596
13,0.0005,0.06852673556425935,0.04434536209295007,0.09270810876391208,0.9176881068193881,0.8517955050711338,0.06817060190698375,0.042856396170136354,0.09348480745872355,0.9183222040626573,0.852362186642167
14,0.0005,0.06465661254469256,0.04159787554523581,0.08771534969595737,0.9221102869862207,0.8588630936420635,0.06412284066958457,0.04157662529336369,0.08666905631189761,0.9227926720003163,0.8592016274884621
15,0.0005,0.06406314624498421,0.0411555360183719,0.08697075664837303,0.9227273565195201,0.8597803806491575,0.06597355836481782,0.04277585398243821,0.08917126263150517,0.919913533311453,0.8544650599823235
16,0.0005,0.06358531400481433,0.0408397618751104,0.0863308658868314,0.9232917932019477,0.8606731035754125,0.06391644704601039,0.04057953352837459,0.08725336101484595,0.9228839130135056,0.8593128623429293
17,0.0005,0.06420752167621822,0.04121940608158828,0.08719563746260574,0.9225093975143842,0.859448054584677,0.0635031884686547,0.040886621089270395,0.08611975545468538,0.9231945868604672,0.8597434633266852
18,0.0005,0.0634305670737581,0.04081193236459356,0.08604920185283425,0.9234883336535088,0.8610056743864719,0.06538141183323742,0.042736439103758114,0.08802638512960873,0.92139290430531,0.8572889625655938
19,0.0005,0.06294039152462745,0.040331191799276314,0.08554959130990282,0.9239739372007968,0.8617746081492856,0.06368700368619114,0.04048288485139423,0.08689112248628036,0.9230316869960808,0.8596554602155034
20,0.0005,0.06316559618343937,0.04051546545114978,0.08581572703957238,0.9236691806015955,0.8612552041981879,0.0649328437280951,0.0427224890369436,0.08714319867376956,0.92163199038239,0.8570626092993695
